#   8Li + 208Pb elastic scattering Elab=31 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       1.65       -92.3219     0.0000E+00
       1.66       -92.3295     0.0000E+00
       1.67       -92.3372     0.0000E+00
       1.68       -92.3448     0.0000E+00
       1.69       -92.3525     0.0000E+00
       1.70       -92.3602     0.0000E+00
       1.71       -92.3681     0.0000E+00
       1.72       -92.3759     0.0000E+00
       1.73       -92.3838     0.0000E+00
       1.74       -92.3917     0.0000E+00
       1.75       -92.3997     0.0000E+00
       1.76       -92.4077     0.0000E+00
       1.77       -92.4158     0.0000E+00
       1.78       -92.4239     0.0000E+00
       1.79       -92.4320     0.0000E+00
       1.80       -92.4402     0.0000E+00
       1.81       -92.4485     0.0000E+00
       1.82       -92.4567     0.0000E+00
       1.83       -92.4651     0.0000E+00
       1.84       -92.4735     0.0000E+00
       1.85       -92.4819     0.0000E+00
       1.86       -92.4904     0.0000E+00
       1.87       -92.4989     0.0000E+00
       1.88       -92.5075     0.0000E+00
       1.89       -92.5160     0.0000E+00
       1.90       -92.5247     0.0000E+00
       1.91       -92.5334     0.0000E+00
       1.92       -92.5421     0.0000E+00
       1.93       -92.5509     0.0000E+00
       1.94       -92.5597     0.0000E+00
       1.95       -92.5685     0.0000E+00
       1.96       -92.5775     0.0000E+00
       1.97       -92.5864     0.0000E+00
       1.98       -92.5954     0.0000E+00
       1.99       -92.6044     0.0000E+00
       2.00       -92.6135     0.0000E+00
       2.01       -92.6226     0.0000E+00
       2.02       -92.6318     0.0000E+00
       2.03       -92.6410     0.0000E+00
       2.04       -92.6502     0.0000E+00
       2.05       -92.6596     0.0000E+00
       2.06       -92.6689     0.0000E+00
       2.07       -92.6783     0.0000E+00
       2.08       -92.6877     0.0000E+00
       2.09       -92.6972     0.0000E+00
       2.10       -92.7067     0.0000E+00
       2.11       -92.7162     0.0000E+00
       2.12       -92.7258     0.0000E+00
       2.13       -92.7356     0.0000E+00
       2.14       -92.7451     0.0000E+00
       2.15       -92.7549     0.0000E+00
       2.16       -92.7647     0.0000E+00
       2.17       -92.7745     0.0000E+00
       2.18       -92.7844     0.0000E+00
       2.19       -92.7943     0.0000E+00
       2.20       -92.8042     0.0000E+00
       2.21       -92.8142     0.0000E+00
       2.22       -92.8242     0.0000E+00
       2.23       -92.8343     0.0000E+00
       2.24       -92.8444     0.0000E+00
       2.25       -92.8545     0.0000E+00
       2.26       -92.8648     0.0000E+00
       2.27       -92.8750     0.0000E+00
       2.28       -92.8852     0.0000E+00
       2.29       -92.8956     0.0000E+00
       2.30       -92.9060     0.0000E+00
       2.31       -92.9163     0.0000E+00
       2.32       -92.9269     0.0000E+00
       2.33       -92.9374     0.0000E+00
       2.34       -92.9479     0.0000E+00
       2.35       -92.9585     0.0000E+00
       2.36       -92.9691     0.0000E+00
       2.37       -92.9798     0.0000E+00
       2.38       -92.9905     0.0000E+00
       2.39       -93.0011     0.0000E+00
       2.40       -93.0119     0.0000E+00
       2.41       -93.0228     0.0000E+00
       2.42       -93.0336     0.0000E+00
       2.43       -93.0445     0.0000E+00
       2.44       -93.0555     0.0000E+00
       2.45       -93.0665     0.0000E+00
       2.46       -93.0775     0.0000E+00
       2.47       -93.0886     0.0000E+00
       2.48       -93.0997     0.0000E+00
       2.49       -93.1109     0.0000E+00
       2.50       -93.1221     0.0000E+00
       2.51       -93.1333     0.0000E+00
       2.52       -93.1446     0.0000E+00
       2.53       -93.1559     0.0000E+00
       2.54       -93.1673     0.0000E+00
       2.55       -93.1787     0.0000E+00
       2.56       -93.1901     0.0000E+00
       2.57       -93.2016     0.0000E+00
       2.58       -93.2131     0.0000E+00
       2.59       -93.2247     0.0000E+00
       2.60       -93.2363     0.0000E+00
       2.61       -93.2479     0.0000E+00
       2.62       -93.2596     0.0000E+00
       2.63       -93.2713     0.0000E+00
       2.64       -93.2831     0.0000E+00
       2.65       -93.2949     0.0000E+00
       2.66       -93.3068     0.0000E+00
       2.67       -93.3186     0.0000E+00
       2.68       -93.3305     0.0000E+00
       2.69       -93.3425     0.0000E+00
       2.70       -93.3544     0.0000E+00
       2.71       -93.3665     0.0000E+00
       2.72       -93.3786     0.0000E+00
       2.73       -93.3907     0.0000E+00
       2.74       -93.4028     0.0000E+00
       2.75       -93.4151     0.0000E+00
       2.76       -93.4273     0.0000E+00
       2.77       -93.4395     0.0000E+00
       2.78       -93.4519     0.0000E+00
       2.79       -93.4642     0.0000E+00
       2.80       -93.4766     0.0000E+00
       2.81       -93.4890     0.0000E+00
       2.82       -93.5015     0.0000E+00
       2.83       -93.5139     0.0000E+00
       2.84       -93.5265     0.0000E+00
       2.85       -93.5391     0.0000E+00
       2.86       -93.5517     0.0000E+00
       2.87       -93.5644     0.0000E+00
       2.88       -93.5770     0.0000E+00
       2.89       -93.5897     0.0000E+00
       2.90       -93.6025     0.0000E+00
       2.91       -93.6153     0.0000E+00
       2.92       -93.6281     0.0000E+00
       2.93       -93.6410     0.0000E+00
       2.94       -93.6539     0.0000E+00
       2.95       -93.6668     0.0000E+00
       2.96       -93.6798     0.0000E+00
       2.97       -93.6928     0.0000E+00
       2.98       -93.7058     0.0000E+00
       2.99       -93.7190     0.0000E+00
       3.00       -93.7321     0.0000E+00
       3.01       -93.7453     0.0000E+00
       3.02       -93.7585     0.0000E+00
       3.03       -93.7716     0.0000E+00
       3.04       -93.7849     0.0000E+00
       3.05       -93.7982     0.0000E+00
       3.06       -93.8116     0.0000E+00
       3.07       -93.8249     0.0000E+00
       3.08       -93.8383     0.0000E+00
       3.09       -93.8517     0.0000E+00
       3.10       -93.8652     0.0000E+00
       3.11       -93.8787     0.0000E+00
       3.12       -93.8922     0.0000E+00
       3.13       -93.9058     0.0000E+00
       3.14       -93.9194     0.0000E+00
       3.15       -93.9330     0.0000E+00
       3.16       -93.9468     0.0000E+00
       3.17       -93.9604     0.0000E+00
       3.18       -93.9742     0.0000E+00
       3.19       -93.9880     0.0000E+00
       3.20       -94.0018     0.0000E+00
       3.21       -94.0156     0.0000E+00
       3.22       -94.0295     0.0000E+00
       3.23       -94.0434     0.0000E+00
       3.24       -94.0573     0.0000E+00
       3.25       -94.0713     0.0000E+00
       3.26       -94.0853     0.0000E+00
