 #b(fm)                     Theta(deg)                 Theta(Rutherford)(deg)
  0.10000000149011612       -1.3344492929460858        178.06885363009206     
  0.20000000298023224       -2.6295627033884337        176.13880354583145     
  0.30000000447034836       -3.9663906501613373        174.21094230337306     
  0.40000000596046448       -5.2866169508956542        172.28635503154877     
  0.50000000745058060       -6.6186340791443268        170.36611579686010     
  0.60000000894069672       -7.9553279717668399        168.45128406146694     
  0.70000001043081284       -9.2990631325493283        166.54290126289362     
  0.80000001192092896       -10.649081635743014        164.64198754229565     
  0.90000001341104507       -12.008574022251798        162.74953864587121     
   1.0000000149011612       -13.378334081176416        160.86652302141650     
   1.1000000163912773       -14.760056105557995        158.99387912917427     
   1.2000000178813934       -16.154607556076790        157.13251298307392     
   1.3000000193715096       -17.563971875816549        155.28329593528014     
   1.4000000208616257       -18.989600546693268        153.44706271371876     
   1.5000000223517418       -20.433203458679440        151.62460971900370     
   1.6000000238418579       -21.896605007513003        149.81669358400421     
   1.7000000253319740       -23.381795537243921        148.02402999623050     
   1.8000000268220901       -24.890999142170195        146.24729278032129     
   1.9000000283122063       -26.426565357962232        144.48711323523810     
   2.0000000298023224       -27.991081064024375        142.74407971833850     
   2.1000000312924385       -29.587421935119306        141.01873746634251     
   2.2000000327825546       -31.218812695191165        139.31158864134085     
   2.3000000342726707       -32.888839037664667        137.62309258842882     
   2.4000000357627869       -34.601544808124530        135.95366629029022     
   2.5000000372529030       -36.361529020051535        134.30368500309530     
   2.6000000387430191       -38.174063533681633        132.67348305740535     
   2.7000000402331352       -40.045244775103775        131.06335480737891     
   2.8000000417232513       -41.982191823728037        129.47355571143027     
   2.9000000432133675       -43.993308457580028        127.90430352757755     
   3.0000000447034836       -46.088634200986704        126.35577960701023     
   3.1000000461935997       -48.280322639219840        124.82813026987716     
   3.2000000476837158       -50.583309926617908        123.32146824792079     
   3.3000000491738319       -53.016282482960122        121.83587417933310     
   3.4000000506639481       -55.603129476871338        120.37139814205926     
   3.5000000521540642       -58.375183533506032        118.92806121270064     
   3.6000000536441803       -61.374760910938335        117.50585703914805     
   3.7000000551342964       -64.661022101896080        116.10475341608641     
   3.8000000566244125       -68.320600647951863        114.72469385353703     
   3.9000000581145287       -72.489159428707751        113.36559912962471     
   4.0000000596046448       -77.399271501652620        112.02736881976135     
   4.1000000610947609       -83.498190932277737        110.70988279541348     
   4.2000000625848770       -91.820035634479893        109.41300268655759     
   4.3000000640749931       -106.26548506546369        108.13657330281808     
   4.4000000655651093        80.231603971065539        106.88042400912056     
   4.5000000670552254        89.246201944201303        105.64437005247567     
   4.6000000685453415        91.726633953810577        104.42821383723128     
   4.7000000700354576        92.756930773434320        103.23174614679424     
   4.8000000715255737        93.145453302275257        102.05474731042440     
   4.9000000730156898        93.177696431086588        100.89698831424701     
   5.0000000745058060        92.987292529662597        99.758231856113781     
   5.1000000759959221        92.647318460842115        98.638233344371400     
   5.2000000774860382        92.201959218720248        97.536741840971487     
   5.3000000789761543        91.679888805673954        96.453500949681370     
   5.4000000804662704        91.100721693764584        95.388249650432456     
   5.5000000819563866        90.478433898147330        94.340723081077911     
   5.6000000834465027        89.823313079513071        93.310653268025561     
   5.7000000849366188        89.143135338371252        92.297769807370003     
   5.8000000864267349        88.443908861434991        91.301800498272172     
   5.9000000879168510        87.730362154353671        90.322471930430027     
   6.0000000894069672        87.006275032554854        89.359510027552489     
   6.1000000908970833        86.274709276342165        88.412640548793078     
   6.2000000923871994        85.538173230591596        87.481589550124482     
   6.3000000938773155        84.798741735709328        86.566083807641519     
   6.4000000953674316        84.058145118954499        85.665851204770135     
   6.5000000968575478        83.317836354041361        84.780621085337941     
   6.6000000983476639        82.579042465581011        83.910124574428409     
   6.7000000998377800        81.842804429465943        83.054094868896868     
   6.8000001013278961        81.110008520776546        82.212267499376793     
   6.9000001028180122        80.381411215660620        81.384380565547545     
   7.0000001043081284        79.657659198115908        80.570174946373371     
   7.1000001057982445        78.939305580929613        79.769394486958461     
   7.2000001072883606        78.226823181189246        78.981786163595203     
   7.3000001087784767        77.520615494723785        78.207100228513625     
   7.4000001102685928        76.821025820636208        77.445090335769819     
   7.5000001117587090        76.128344931277510        76.695513649640930     
   7.6000001132488251        75.442817554129036        75.958130936824830     
   7.7000001147389412        74.764647897439332        75.232706643672870     
   7.8000001162290573        74.094004385298632        74.519008959617537     
   7.9000001177191734        73.431023752089288        73.816809867889660     
   8.0000001192092896        72.775814588158980        73.125885184556722     
   8.1000001206994057        72.128460454909359        72.446014586850779     
   8.2000001221895218        71.489022601463375        71.776981631695406     
   8.3000001236796379        70.857542385553018        71.118573765283102     
   8.4000001251697540        70.234043395011753        70.470582324499887     
   8.5000001266598701        69.618533363115972        69.832802530940683     
   8.6000001281499863        69.011005855198931        69.205033478209629     
   8.7000001296401024        68.411441809246682        68.587078113151307     
   8.8000001311302185        67.819810899433136        67.978743211613903     
   8.9000001326203346        67.236072775707655        67.379839349302600     
   9.0000001341104507        66.660178185255305        66.790180868240896     
   9.1000001356005669        66.092069984701979        66.209585839319544     
   9.2000001370906830        65.531684062329333        65.637876021377352     
   9.3000001385807991        64.978950174253811        65.074876817223213     
   9.4000001400709152        64.433792698184675        64.520417226978580     
   9.5000001415610313        63.896131334318824        63.974329799088636     
   9.6000001430511475        63.365881724032356        63.436450579323321     
   9.7000001445412636        62.842956027073818        62.906619058063129     
   9.8000001460313797        62.327263447751882        62.384678116140662     
   9.9000001475214958        61.818710689645997        61.870473969485460     
   10.000000149011612        61.317202411843418        61.363856112799695     
   10.100000150501728        60.822641596313893        60.864677262471560     
   10.200000151991844        60.334929916326288        60.372793298915923     
   10.300000153481960        59.853968055186520        59.888063208513728     
   10.400000154972076        59.379655990344354        59.410349025307156     
   10.500000156462193        58.911893264643297        58.939515772591889     
   10.600000157952309        58.450579215795088        58.475431404534575     
   10.700000159442425        57.995613191081652        58.017966747931979     
   10.800000160932541        57.546894743643065        57.566995444215053     
   10.900000162422657        57.104323796523516        57.122393891791830     
   11.000000163912773        56.667800794331868        56.684041188812799     
   11.100000165402889        56.237226850351739        56.251819076433421     
   11.200000166893005        55.812503847486191        55.825611882639151     
   11.300000168383121        55.393534563612938        55.405306466692565     
   11.400000169873238        54.980222751383558        54.990792164252909     
   11.500000171363354        54.572473227379433        54.581960733213734     
   11.600000172853470        54.170191933824015        54.178706300296923     
   11.700000174343586        53.773286007638497        53.780925308436892     
   11.800000175833702        53.381663828746547        53.388516464983510     
   11.900000177323818        52.995235059649801        53.001380690747098     
   12.000000178813934        52.613910685318238        52.619421069905854     
   12.100000180304050        52.237603043561052        52.242542800791384     
   12.200000181794167        51.866225842126013        51.870653147564411     
   12.300000183284283        51.499694181815201        51.503661392790718     
   12.400000184774399        51.137924569167268        51.141478790923316     
   12.500000186264515        50.780834918339906        50.784018522694566     
   12.600000187754631        50.428344564587299        50.431195650420733     
